Producto,Cantidad,Marca,Tamaño,Categoría,Precio,Imagen
Arroz Diana 2 kg ,25,Diana,2 kg,Alimentos,11000,https://mercadoslpineda.co/1870-large_default/arroz-diana-x-2500-g.jpg
Baterías Energizer Max AAA,2,Energizer,Max AAA,Baterías,19000,https://olimpica.vtexassets.com/arquivos/ids/1389488/7702087359776.jpg
Baterías Energizer D2,2,Energizer,D2,Baterías,22000,https://copservir.vtexassets.com/arquivos/ids/1565541/PILA-ALCALINA-ENERGIZER-MAX-D2_P.png
Batería Eveready C,1,Eveready,C,Baterías,20000,https://ferretronica.com/cdn/shop/products/Par_de_Pilas_Tipo_C_Eveready_2_Baterias_tipo_C_ferretronica_2ba277d7-bb93-4acb-bbfb-412d30b93161.jpg
Gaseosa Seven-Up,2,Seven-Up,2 L,Bebida,5500,https://jumbocolombiaio.vtexassets.com/arquivos/ids/208449/7702090036534.jpg
Gaseosa Manzana Postobón,3,Postobón,2.5 L,Bebida,6500,https://olimpica.vtexassets.com/arquivos/ids/1441110/7702090016406.jpg
Gaseosa Pony Malta,1,Postobón,330 ml,Bebida,2500,https://carulla.vtexassets.com/arquivos/ids/19577171/Pony-Malta-Pet-330-ml-617569_a.jpg
Gaseosa Colombiana,1,Postobón,2 L,Bebida,5500,https://eurosuper.vtexassets.com/arquivos/ids/159859/7702090016413.jpg
Gaseosa Pepsi,2,Pepsi,2.5 L,Bebida,6000,https://prodcdnmobisoft.oxxodomicilios.com/01J5Z8YBRG5QD77Q8XERYVBEXZ.jpeg
H2O,4,Postobón,600 ml,Bebida,3000,https://licoresmedellin.com/cdn/shop/files/AGUA_SABORIZADA_H20H__LIMONATA_600ML.jpg
Gaseosa Bretaña,1,Bretaña,1.5 L,Bebida,4500,https://jumbocolombiaio.vtexassets.com/arquivos/ids/626602/7702090029543-1.jpg
Coca-Cola retornable,1,Coca-Cola,1 L,Bebida,3800,https://www.entuhogar.coca-cola.com.co/media/catalog/product/c/o/coccol-orig-ret-vid-1l-int-1pz_1_2.jpg
Baterías Eveready D2,9,Eveready,D2,Baterías,22000,https://212global.com/wp-content/uploads/2024/06/61f9b01324324f634d8a2d69_thumbnail-300x300.jpg
Bombillos Magnífico,3,Magnífico,Unidad,Iluminación,5000,https://www.corbeta.com.co/media/catalog/product/7/7/7705946850247-001-removebg-preview.png
Salsas Bary de carne,3,Bary,250 ml,Alimentos,7500,https://mercadoslpineda.co/1198-thickbox_default/salsa-para-carnes-x-175-cc-bary.jpg
Salsas Bary negra,4,Bary,250 ml,Alimentos,7500,https://ecommerce.surtifamiliar.com/backend/admin/backend/web/archivosDelCliente/items/images/20240917151204-Salsas-Salsas-Sazonadoras-Salsa-Negra-x155g-Bary-3536720240917151204475.jpg
Salsa Bary vainilla,1,Bary,250 ml,Alimentos,7500,https://mundohuevo.com/cdn/shop/files/00594.jpg
Don Próspero adobo,3,Don Próspero,250 g,Alimentos,6000,https://i.imgur.com/vnZEXhA.jpg
Paquetes Orégano Rey,8,Rey,50 g,Alimentos,2500,https://supermercadolaestacion.com/33960-large_default/condimento-rey-oregano-sobre-x-10-gramos.jpg
Botellas Blancox,6,Genérica,750 ml,Hogar,6500,https://www.refisalblancox.com.co/Image/0/500_500-729736_a.jpg
Cabezas de traperos,44,Genérica,Unidad,Aseo,7000,https://m.media-amazon.com/images/I/61jIqLCKoPL.jpg
Bombillos Minilux,3,Minilux,Unidad,Iluminación,5500,https://ilumax.com.co/wp-content/uploads/2022/03/Bulbo_LED_7W_Antimosquito_E27_1112_1.jpg-1024x1024.jpg
Bombillos Philips,10,Philips,Unidad,Iluminación,9000,https://easycolombia.vtexassets.com/arquivos/ids/235435/8718699702830-1.jpg
Bombillos Nalpilux,3,Nalpilux,Unidad,Iluminación,5500,https://copservir.vtexassets.com/arquivos/ids/1551873/OF-BOMBILLO-NALPILUX-LED-9W_F.jpg
Bombillos Sylvania,8,Sylvania,Unidad,Iluminación,8500,https://olimpica.vtexassets.com/arquivos/ids/245826/Bombillo-SYLVANIA-LED-12W---Pack-X3.jpg
Bombillos San Jorge,3,San Jorge,Unidad,Iluminación,6000,https://unionglobal.com.co/wp-content/uploads/2022/12/bombillo-12w.png
Bombillos Probelco,3,Probelco,Unidad,Iluminación,6500,https://i0.wp.com/almayorve.com/wp-content/uploads/2023/05/Bombillo-9w-Probelco-1-rotated.jpg
Bombillo Santa Blanca,1,Santa Blanca,Unidad,Iluminación,6000,https://tronex-consumer.com/wp-content/uploads/2021/01/Santa-Blanca.jpg
Bombillo Majuluz,1,Majuluz,Unidad,Iluminación,5500,https://ingecomsas.com/wp-content/uploads/2023/06/BOMBILLO-15W-1-scaled.jpg
Bombillo Rayovac,1,Rayovac,Unidad,Iluminación,7500,https://la.rayovac.com/wp-content/uploads/2021/06/bombillo1.png
Bombillo Nrline,1,Nrline,Unidad,Iluminación,5000,https://starled.com.co/wp-content/uploads/2022/03/bombillo-nr-line-1000lm.jpg
Bombillo Eveready,1,Eveready,Unidad,Iluminación,7000,https://en1ya.com/wp-content/uploads/2023/12/BOMBILLO-LED-EVEREADY-8W-LUZ-BLANCA-X1-UNIDAD.pptx.jpg
Cabezas de escobas,105,Genérica,Unidad,Aseo,6500,https://m.media-amazon.com/images/I/718ohD9AmQL.jpg
Six pack Millones Andina,3,Andina,Six Pack,Bebida,16000,https://pbs.twimg.com/media/F6kV2yuW8AA0t9Y.jpg
Mini recogedores,5,Genérica,Unidad,Aseo,5000,https://m.media-amazon.com/images/I/51C4qde+8hL._AC_.jpg
Escoba chiquita,1,Genérica,Unidad,Aseo,8000,https://m.media-amazon.com/images/I/518oerfp0XL.jpg
Mini traperos,4,Genérica,Unidad,Aseo,7500,"https://images-na.ssl-images-amazon.com/images/I/41e-oQ-amdL._AC_UL600_SR600,600_.jpg"
Escobillas para el baño,22,Genérica,Unidad,Aseo,6000,https://kostamar.com.co/cdn/shop/products/Escobillon-Para-Bano_1024x1024.jpg
Soportes para colocar trapero,4,Genérica,Unidad,Aseo,12000,https://tripleclean.com.co/wp-content/uploads/2024/12/LRES60_5.jpg
Club Colombia Negra,16,Club Colombia,330 ml,Bebida,3800,https://www.clubcolombia.com.co/sites/g/files/seuoyk481/files/2023-05/lata_negra.png
Club Colombia Roja,3,Club Colombia,330 ml,Bebida,3800,https://www.clubcolombia.com.co/sites/g/files/seuoyk481/files/2023-05/lata_roja.png
