Producto,Cantidad,Marca,Tamaño,Categoría,Precio,Imagen
Gel Antibacterial Pequeño,10,Genérica,Pequeño,Cuidado Personal,4200,https://tauro.com.co/wp-content/uploads/2022/03/112817.jpg
Jugo Cifrut Naranja Mandarina Limón 6 unidades de 400ml,6,Cifrut,6x400ml,Bebidas,20000,https://almin.com.co/53768-large_default/cifrut-naranja-mandarina-y-limon-pet-no-retornable-400-ml-paca-12-und.jpg
Johnson's Baby Aceite 50ml,2,Johnson's Baby,50ml,Cuidado Personal,10000,https://colsubsidio.vteximg.com.br/arquivos/ids/191080-1200-1200/7702031132844_0.jpg
Color Vaselina 100g,2,Color,100g,Cuidado Personal,5500,https://flipcat-prod.s3.amazonaws.com/flipcat-store/20230429123623/Vaselina60.jpg
Granadilla Maracuyá Piña 400ml,8,Cifrut,400ml,Bebidas,4200,https://almin.com.co/53770-large_default/cifrut-pina-granadilla-y-maracuya-pet-no-retornable-400-ml-paca-12-und.jpg
Alka-Seltzer Extreme Pequeño 4 sobres,4,Alka-Seltzer,4 sobres,Medicamentos,10000,https://locatelcolombia.vtexassets.com/arquivos/ids/331457/7702123007418_1_Alka-Seltzer-Extreme-Caja-x-8-sobres.jpg
Big Cola de Uva 400ml,8,Big Cola,400ml,Bebidas,3000,https://sumerlabs.com/prod/catalogue/7a6fc53a68fc735ce5aca7a500a915caee969d1e/image1j987rrodkelwqmtdle.png
Suave Gold Pañitos,10,Suave Gold,Paquete,Cuidado Personal,3800,https://mundosuavegold.com/wp-content/uploads/2021/07/Suave-Gold_Dispenser2.png
Familia Pañitos,10,Familia,Paquete,Cuidado Personal,3800,https://images.ctfassets.net/tcoigcjw85h2/3IZVqTMK5OFPB7cQMgvYpG/87147d51eee768129550b7194e15984e/toallitas-humedas-mil-usos-x10.png
Big Cola Mandarina 400ml,4,Big Cola,400ml,Bebidas,3000,https://distribuidoranikoll.com/wp-content/uploads/2023/05/IMG_20230505_133406_535.jpg
Creolina Paquetes Girasol 250ml + 125ml,2,Girasol,250ml + 125ml,Limpieza,5000,https://elestablocolombia.com/wp-content/uploads/5110271400005.jpg
Creolina Wash Power 120ml,2,Wash Power,120ml,Limpieza,4200,https://mispastillas.com/wp-content/uploads/2021/03/0858-Creolina-x-120-ml-QUIMICOS-OWA-mispastillas-tienda-pastillas-medellin-colombia.jpg
Creolina Girasol 500ml,1,Girasol,500ml,Limpieza,7200,https://elestablocolombia.com/wp-content/uploads/5110271400006.jpg
Creolina La Catleya 500ml,2,La Catleya,500ml,Limpieza,7200,https://elestablocolombia.com/wp-content/uploads/5110271400006.jpg
Creolina Wash Power 250ml,1,Wash Power,250ml,Limpieza,6000,https://olimpica.vtexassets.com/arquivos/ids/737233/7702377834143.jpg
Algodón JGB 25g,3,JGB,25g,Cuidado Personal,2500,https://olimpica.vtexassets.com/arquivos/ids/1420177/7702560000362_a.jpg
Cifrut Citrus Punch 400ml,3,Cifrut,400ml,Bebidas,4200,https://eurosuper.vtexassets.com/arquivos/ids/185686/7707244560330.png
Algodón MK 50g,2,MK,50g,Cuidado Personal,3800,https://olimpica.vtexassets.com/arquivos/ids/1843456/7702057077051.jpg.jpg
Alcohol JGB 120ml,8,JGB,120ml,Cuidado Personal,3800,https://copservir.vtexassets.com/arquivos/ids/1561988/ALCOHOL-J-G-B_F.png
Alcohol JGB 350ml,3,JGB,350ml,Cuidado Personal,7200,https://locatelcolombia.vtexassets.com/arquivos/ids/375227/7702560009532_1_Alcohol-Antiseptico-Jgb-x-350ml.jpg
MK Alcohol 120ml,2,MK,120ml,Cuidado Personal,3800,https://locatelcolombia.vtexassets.com/arquivos/ids/335126/7702057075057_1_Alcohol-Mk-Botella-X-120Ml.jpg
Cubre Rasguño Lustra Muebles Vainilla 300ml,1,Genérica,300ml,Limpieza,10000,https://megatiendas.vtexassets.com/arquivos/ids/159972/7702155015801.jpg
Renueva y Brilla Lustra Muebles Vainilla 300ml,1,Genérica,300ml,Limpieza,10000,https://plazavea.vteximg.com.br/arquivos/ids/30247047-418-418/1951055002.jpg
Alcohol JGB 700ml,2,JGB,700ml,Cuidado Personal,14000,https://exitocol.vtexassets.com/arquivos/ids/26958290/ALCOHOL-551702_a.jpg
Alcohol Antiséptico MK 350ml,2,MK,350ml,Cuidado Personal,7200,https://olimpica.vtexassets.com/arquivos/ids/1049134/7702057075088.jpg
Alcohol Antiséptico MK 700ml,1,MK,700ml,Cuidado Personal,14000,https://olimpica.vtexassets.com/arquivos/ids/1049136/7702057075101.jpg
Sprite Ride 244g,2,Ride,244g,Medicamentos,2500,https://superxtrapanama.vtexassets.com/arquivos/ids/156117/7501032925550.png
Pasta Ambiental Girasol,11,Girasol,Unidad,Limpieza,4200,https://productosscopa.com/wp-content/uploads/2022/08/Pasta-ambiental.png
Pastilla 4 Ride 7 paquetes,7,Ride,7 paquetes,Medicamentos,10000,https://kywiec.vtexassets.com/arquivos/ids/172042/400769.jpg
Lady Speed Stick Clinical Complete 30g,4,Lady Speed Stick,30g,Cuidado Personal,17500,https://locatelcolombia.vtexassets.com/arquivos/ids/358479/7702010470479_1_Desodorante-Speed-Stick-Clinical-X-30G.jpg
Medicare Curas,200,Medicare,Paquete,Cuidado Personal,3200,https://coopidrogas.vtexassets.com/arquivos/ids/36784751/curas-medicare-redondas-cpiel-100-und.jpg
Repelente Repelente 148ml,1,Genérica,148ml,Cuidado Personal,10000,https://i5.walmartimages.com.mx/gr/images/product-images/img_large/00007112187155L.jpg
Raid Pastillas Mosquitos,1,Raid,Paquete,Insecticida,7500,https://olimpica.vtexassets.com/arquivos/ids/1318642/7591005677791_2.jpg
Lady Speed Stick Floral Fresh Gel 10g,18,Lady Speed Stick,10g,Cuidado Personal,10000,https://pasteurio.vtexassets.com/arquivos/ids/193818/Cuidado-Personal-Desodorante_Lady-speed-stick_Pasteur_063569_caja_01.jpg
Speed Stick Crema Extreme Night 9g,20,Speed Stick,9g,Cuidado Personal,10000,https://www.speedstick.com/content/dam/cp-sites/personal-care/mens-speed-stick-2023-redesign/global/products/mss-xtreme-night-cream-tubo-co.png
Extermin 250ml,1,Extermin,250ml,Insecticida,12500,https://olimpica.vtexassets.com/arquivos/ids/1083503/7702158850003.jpg
Speed Stick Crema Antibacterial 9g Dry,1,Speed Stick,9g,Cuidado Personal,10000,https://distrimarketsas.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6MTEyNjA0NSwicHVyIjoiYmxvYl9pZCJ9fQ==--f7a70847e628fe63f3fb3da080567ea5c444df9d/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJqcGciLCJyZXNpemVfdG9fZml0IjpbODAwLDgwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--1420d7fd3d20057726f0ef3c0043db24ca0403be/comprar-desodorante-spedd-clinical-dry-tapa-caja-18-sobres-9-gr-cu-precio.jpg
Balance for Men Gel Energy 10g,18,Balance for Men,10g,Cuidado Personal,10000,https://static.merqueo.com/images/products/large/727660f9-db1e-4e8b-9a24-1b90f2cfaf7e.jpg
Brisa Marina,3,Genérica,Unidad,Ambientador,4000,https://www.bazzarbog.com/14844-large_default/ambientador-brisa-marina-500-ml.jpg
Balance Women Crema Clinical 11.5g,8,Balance Women,11.5g,Cuidado Personal,15000,https://supermercadolaestacion.com/33639-thickbox_default/desodorante-balance-women-clinical-crema-x-32-gramos.jpg
Limpiador Desinfectante 123 500ml,3,123,500ml,Limpieza,5500,https://123cuidatuhogar.com/wp-content/uploads/2022/02/Desinfectante-de-frutas-y-verduras-500-ml.png
Ambientador Brizze 260ml Coco,1,Brizze,260ml,Ambientador,5500,https://images.rappi.com/products/865654280814_frtbmrlktvfu_596543134094_gqzuukjcakvc_2753054_1.jpeg
Ambientador Brizze 360ml Lavanda Primavera,1,Brizze,360ml,Ambientador,6800,https://exitocol.vtexassets.com/arquivos/ids/24446181/Amb-Lavanda-Primaveral-BRIZZE-SIN-REF-486824_a.jpg
Rolda Styling Gel 120g,5,Rolda,120g,Cuidado Personal,10000,https://exitocol.vteximg.com.br/arquivos/ids/23416018/rolda-styling-gel-fijador-120g.jpg
Limpiavidrios 500ml,2,Genérica,500ml,Limpieza,5000,https://www.kipclin.com/images/virtuemart/product/KIP-PQP-LIMPV00004.jpg
Balance Women Clinical Protection 32g,7,Balance Women,32g,Cuidado Personal,18500,https://www.droguerialaeconomia.com/economia/site/img/1x/146420.jpg
Limpiador Desinfectante 123 Vinagre 500ml,3,123,500ml,Limpieza,5500,https://www.kipclin.com/images/virtuemart/product/KIP-PQP-LIMPA00063(E).jpg
Takontank Aroma Verbal 48g,2,Takontank,48g,Ambientador,7500,https://clichecolombia.com/cdn/shop/files/4_a0da4df8-0650-4afa-b341-9f302d42cb81.jpg
Gel Glade Lavanda,1,Glade,Unidad,Ambientador,6200,https://megatiendas.vtexassets.com/arquivos/ids/166046/7591005998292.jpg
Aceite de Citronela Beisbol 240ml,1,Beisbol,240ml,Cuidado Personal,10000,https://exitocol.vtexassets.com/arquivos/ids/26779804/Desinfectante-BEISBOL-Citronela-240-ml-3643931_a.jpg
Dove Dermo Aclarant 8.5g,10,Dove,8.5g,Cuidado Personal,15000,https://coopidrogas.vtexassets.com/arquivos/ids/36915207/dtedove-tono-uniforme-85-gr-x-10-sbs.jpg
Desodorante Savital Extracto de Sábila 20g,18,Savital,20g,Cuidado Personal,8500,https://mistiendas.com.co/17008-large_default/desodorante-savital-sabila-aerosol-150ml-pr-mt.jpg
Gel Glade Alergia Floral,2,Glade,Unidad,Ambientador,6200,https://miguagua.ec/cdn/shop/files/140694004_1.png_1701805663561_1024x_a9d1d1c3-2095-48af-bf32-5b74f1fc25ca_600x.jpg
SunDays 10ml,24,SunDays,10ml,Cuidado Personal,12000,https://cdn1.totalcommerce.cloud/mercadozapatoca/product-thumb/es/sundays-fps-50-x1-sobre-1.jpg
Pack Yodora Crema 100g,1,Yodora,100g,Cuidado Personal,18000,https://olimpica.vtexassets.com/arquivos/ids/1855130/7702057086923.jpg.jpg
Noxpirin Acetaminofén Mandarina 15g,24,Noxpirin,15g,Medicamentos,8000,https://www.farmadon.com.ve/wp-content/uploads/2022/04/Noxpirin-Dia-Sabor-Mandarina-X-15Gr.-Siegfried.jpg
Ego Crema para Peinar,11,Ego,Unidad,Cuidado Capilar,6500,https://megatiendas.vtexassets.com/arquivos/ids/172947/7702006653527.jpg
Bachue Gel Extra Fuerte 20g,12,Bachue,20g,Cuidado Capilar,5500,https://images.rappi.com/products/1718413113045_1718413111846_1718413110223.png
Gillette Presto Barba 3,1,Gillette,Unidad,Afeitado,12000,https://copservir.vtexassets.com/arquivos/ids/1560320/MAQUINA-DE-AFEITAR-DESECHABLE_F.png
Lubriderm Piel Normal,2,Lubriderm,Unidad,Cuidado de la Piel,15000,https://copservir.vtexassets.com/arquivos/ids/1559578/CREMA-CORPORAL-LUBRIDERM-HUMEC_L.png
Johnson Barra Jabón 26 unidades,26,Johnson's,Unidad,Higiene,45000,https://vaquitaexpress.com.co/media/catalog/product/cache/20550c7acf32f3e8f4083358cffff538/7/7/7702031407218_30.jpg
Ponds Age Miracle 7g,5,Ponds,7g,Cuidado de la Piel,8500,https://assets.unileversolutions.com/v1/42411014.png
Barras de Jabón Cristalina,8,Cristalina,Unidad,Higiene,2800,https://www.casaluker.com/wp-content/uploads/2024/03/CRISTALINO-FRUTOS-ROJOS-406X511-copia.png
Schick Presto Barba Quattro Piel Normal,1,Schick,Unidad,Afeitado,15000,https://copservir.vtexassets.com/arquivos/ids/1560738/MAQUINA-AFEIT-SCHICK-QUAT-NORM_F.png
Jabón Barra Rexona,3,Rexona,Unidad,Higiene,3200,https://pasteurio.vtexassets.com/arquivos/ids/171298/Cuidado-Personal-Jabones_Rexona_Pasteur_092453_barra_01.jpg
